country;monument
Japan;Fushimi Inari-taisha 
Japan;Golden Pavilion Temple 
Japan;Kiyomizu-dera temple 
Japan;Senso-ji Temple 
Japan;Dotombori District
France;Versaille Castle 
France;Eiffel Tower 
France;Arc de Triomphe
France;Opera Garnier, 
France;Louvre Museum
United States;Liberty Statue 
United States;National Mall
United States;Hollywood
United States;Route 66
United States;Golden Gate
South Korea;Gyeongbokgung
South Korea;N Seoul Tower
South Korea;Changdeokgung Palace
South Korea;Insadong
South Korea;Bukchon
China;Great Wall of China
China;Forbidden City
China;Great Bouddha of Tian Tan, 
China;Temple of Heaven 
China;Potala Palace
United Kingdom;Tower of London
United Kingdom;London Eye, 
United Kingdom;Tower Bridge, 
United Kingdom;Edimburgh Castle 
United Kingdom;Westminster Abbey
Australia;Sydney Opera House, 
Australia;Harbour Bridge, 
Australia;Melbourne Cricket Ground, 
Australia;Darling Harbour, 
Australia;Uluru
Mexico;Chichen Itza
Mexico;Tulum Archeological site
Mexico;Chapultepec Castle
Mexico;Teotihuacan
Mexico;Coba Ruins
Turkey;Saint Sophie Museum and Basilica
Turkey;Basilica Cistern
Turkey;Süleymaniye Mosque
Turkey;Ephesus old town
Turkey;Blue Mosque
Egypt;Karnak Temple
Egypt;Giza Necropolis
Egypt;Valley of Kings
Egypt;Abou Simbel
Egypt;Great Pyramid of Cheops
Spain;The Alhambra
Spain;Sagrada Familia Basilica
Spain;Mosque of Cordoba
Spain;Cathedral of Saint-Jacques-de-Compostelle
Spain;Cathedral of Burgos
Combodia;Angkor vat
Combodia;Bayon (Angkor)
Combodia;Ta Prohm
Combodia;Choeung Ek
Combodia;Banteay Srei
India;Taj Mahal
India;Amber Fortress and Palace
India;Qûtb Minâr
India;Swaminarayan Askhardham
India;Golden temple
Unites Arab Emirates ;Dubai Fountain
Unites Arab Emirates ;Sheikh Zayed Mosque
Unites Arab Emirates ;Burj Khaifa
Unites Arab Emirates ;Burj al-Arab
Unites Arab Emirates ;Emirates Palace
Peru;Machu Pichu
Peru;Sacsayhuaman
Peru;Miraflores
Peru;Historic Center of Cusco
Peru;Plaza de Armas
Greece;Acropolis
Greece;Parthenon
Greece;Acropolis of Lindos
Greece;Meteors
Greece;Spinalonga
Germany;Miniatur Wanderland
Germany;Bundestag
Germany;Brandenburg Gate
Germany;Marienplatz
Germany;Cologne Cathedral
Chili;San Cristobal hill
Chili;cerro santa lucia
Chili;Metropolitan Cathedral of Santiago de Chile
Chili;la Moneda
Chili;Valle del Elqui
Italia;Colisée
Italia;Panthéon
Italia;Dôme de Milan
Italia;Fontaine de Trevi
Italia;Basilique Saint-Pierre
Zimbabwe;Victoria Falls Bridge
Zimbabwe;National Monument of Greater Zimbabwe
Zimbabwe;Matobo Hills
Zimbabwe;Khami Ruins
Zimbabwe;World’s View
Zambia;Mukuni Village
Zambia;Gorge Swing
Zambia;Cathedral of the Holy Cross Lusaka
Zambia;Dag hammarskjoeld Memorial
Zambia;Shiwa Ngandu
Israel;old city of Jerusalem
Israel;Western Wall
Israel;Tayelet
Israel;Magdala
Israel;The Western Wall Tunnels
Brazil;Sugar loaf
Brazil;Statue of Christ the Redeemer
Brazil;Paulista Avenue
Brazil;Rua das Pedras
Brazil;Maracana
Thailande;Temple of the Reclining Buddha
Thailande;Grand Palais
Thailande;Temple of the Dawn
Thailande;Great Buddha of Phuket
Thailande;Temple of the Emerald Buddha
Jordan;Patra
Jordan;the Treasury (al-Khazna)
Jordan;Jerash Ruins
Jordan;Monastery (Al Dayr)
Jordan;La Citadelle
Viet Nam;Chu Chi Tunnels
Viet Nam;Hoi An Ancient Town
Viet Nam;Imperial City of Hué
Viet Nam;The Marble Mountains
Viet Nam;Hanoi Temple of Literature
Tibet;Potala Palace
Tibet;Jokhang temple
Tibet;Mount Kaliash
Tibet;Lake Manasarivar
Tibet;Barkhor street
Guatemala;tikal
Guatemala;arc of Santa Catalina
Guatemala;Parque Central
Guatemala;Cerro de la Cruz
Guatemala;Yaxha
Indonesia;Tegalalang rice terrace
Indonesia;Tanah Lot temple
Indonesia;Uluwatu Temple
Indonesia;Prambanan Temple
Indonesia;Borobudur Temple
