"basic","country","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"total","Australia","3,726","4,164","4,318","4,167","4,460","4,931","4,856","4,841","4,746","5,215","5,499","5,533","5,645","5,585","5,490","5,790","5,771","6,033","6,482","6,922","7,449","8,269","8,815","9,246","9,466","1,828","246"
"air","Australia","3,712","4,149","4,305","4,146","4,427","4,904","4,832","4,819","4,730","5,201","5,486","5,514","5,619","5,558","5,464","5,772","5,760","6,017","6,386","6,865","7,387","8,209","8,743","9,167","9,387","1,789","246"
"water","Australia","14","15","13","21","33","27","24","22","16","14","13","19","26","27","26","18","11","16","96","57","62","60","72","78","79","39","0"
"land","Australia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"total","Brazil","1,991","2,665","2,850","4,818","5,107","5,313","4,772","3,785","4,133","4,794","5,358","5,017","5,026","5,050","4,802","5,161","5,433","5,678","5,813","6,430","6,306","6,547","6,589","6,621","6,353","2,146","0"
"air","Brazil","1,343","1,894","2,005","2,421","2,534","2,723","2,960","2,815","3,083","3,569","3,938","3,713","3,747","3,691","3,349","3,610","3,808","3,987","4,066","4,540","4,318","4,369","4,188","4,328","4,289","1,186","0"
"water","Brazil","43","53","70","123","127","161","134","79","57","74","106","123","129","110","154","151","182","150","135","130","117","136","150","205","225","124","0"
"land","Brazil","605","718","775","2,274","2,446","2,429","1,678","891","993","1,151","1,314","1,181","1,150","1,249","1,299","1,400","1,443","1,541","1,612","1,760","1,871","2,042","2,252","2,089","1,839","837","0"
"total","Combodia","220","260","219","290","368","466","605","787","701","987","1,334","1,592","2,016","2,125","2,162","2,508","2,882","3,584","4,210","4,503","4,775","5,012","5,602","6,201","6,611","1,306","196"
"air","Combodia","220","260","219","186","263","351","408","523","456","626","857","1,027","1,297","1,239","1,112","1,304","1,481","1,722","2,018","2,274","2,476","2,704","3,313","4,097","4,404","756","100"
"water","Combodia","0","0","0","0","0","0","0","0","0","25","32","40","44","72","78","78","81","76","75","97","148","153","145","144","157","52","0"
"land","Combodia","0","0","0","104","105","115","197","264","245","336","445","525","675","814","972","1,126","1,320","1,786","2,117","2,132","2,151","2,154","2,144","1,960","2,050","498","96"
"total","Chile","1,540","1,449","1,643","1,757","1,632","1,742","1,723","1,412","1,614","1,785","2,027","2,253","2,507","2,710","2,760","2,801","3,137","3,554","3,576","3,674","4,478","5,641","6,450","5,723","4,518","1,119","0"
"air","Chile","552","571","655","683","640","662","649","606","708","760","855","912","1,055","1,086","1,030","1,052","1,265","1,445","1,475","1,535","1,710","1,985","2,569","2,364","2,079","423","0"
"water","Chile","8","6","13","17","20","26","34","28","37","67","75","95","104","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"land","Chile","980","872","975","1,057","972","1,054","1,040","778","869","958","1,097","1,246","1,348","1,624","1,730","1,749","1,872","2,109","2,101","2,140","2,768","3,656","3,881","3,359","2,439","697","0"
"total","China","46,387","51,126","57,588","63,477","72,796","83,444","89,012","97,908","91,661","109,038","120,293","124,942","131,872","130,027","126,476","133,762","135,423","132,405","129,078","128,498","133,820","141,774","153,260","158,606","162,538","0","0"
"air","China","4,813","5,325","5,856","5,559","6,627","7,745","8,617","10,343","8,080","12,617","14,736","16,500","18,815","16,813","16,301","20,014","20,911","21,421","20,744","21,086","21,012","22,676","23,070","24,448","25,299","0","0"
"water","China","3,997","4,164","4,578","3,754","3,814","3,860","4,115","4,377","3,787","4,727","5,212","5,484","5,920","5,480","4,672","5,039","5,082","4,793","4,644","4,594","4,540","4,732","4,612","4,659","4,229","0","0"
"land","China","37,577","41,637","47,154","54,164","62,355","71,839","76,280","83,188","79,794","91,694","100,345","102,958","107,137","107,734","105,503","108,709","109,430","106,191","103,690","102,818","108,268","114,367","125,578","129,500","133,011","0","0"
