"country","purpose","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Australia","total","3,726","4,163","4,318","4,168","4,459","4,931","4,856","4,841","4,747","5,215","5,499","5,533","5,645","5,586","5,490","5,791","5,771","6,032","6,482","6,922","7,449","8,269","8,815","9,246","9,466","1,828","246"
"Australia","Personal","3,156","3,504","3,626","3,501","3,714","4,080","4,019","3,968","3,847","4,216","4,395","4,315","4,336","4,247","4,271","4,431","4,351","4,577","5,038","5,435","5,870","6,670","7,072","7,440","7,624","1,422","192"
"Australia","Business and professional","570","659","692","667","745","851","837","873","900","999","1,104","1,218","1,309","1,339","1,219","1,360","1,420","1,455","1,443","1,486","1,580","1,599","1,744","1,806","1,842","406","54"
"Brazil","total","1,991","2,666","2,850","4,818","5,107","5,313","4,773","3,784","4,134","4,794","5,358","5,017","5,026","5,050","4,802","5,162","5,433","5,677","5,813","6,430","6,306","6,547","6,589","6,621","6,353","0","0"
"Brazil","Personal","1,455","1,901","1,921","3,532","4,023","3,833","3,330","2,714","3,059","3,418","3,799","3,607","3,649","3,676","3,702","3,959","4,042","4,246","4,290","5,022","5,032","5,322","5,561","5,728","5,375","0","0"
"Brazil","Business and professional","536","765","929","1,286","1,084","1,480","1,443","1,070","1,075","1,376","1,559","1,410","1,377","1,374","1,100","1,203","1,391","1,431","1,523","1,408","1,274","1,224","1,028","894","978","0","0"
"Combodia","total","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Combodia","Personal","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Combodia","Business and professional","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chile","total","1,540","1,450","1,644","1,757","1,632","1,742","1,760","1,491","1,672","1,825","2,069","2,273","2,534","2,710","2,760","2,801","3,137","3,554","3,576","3,674","4,478","5,641","6,450","5,723","4,518","1,119","0"
"Chile","Personal","1,187","1,227","1,471","1,613","1,466","1,494","1,553","1,296","1,462","1,585","1,719","1,795","2,075","2,142","2,026","2,032","2,435","2,904","2,952","3,009","3,786","4,827","5,814","5,169","4,030","1,024","0"
"Chile","Business and professional","353","223","173","144","166","248","207","195","210","240","350","478","459","568","734","769","702","651","624","666","692","814","636","554","488","95","0"
"China","total","0","0","0","0","0","0","0","13,439","11,403","16,932","20,255","22,210","26,110","24,326","21,938","26,127","27,111","27,191","26,290","26,361","25,985","31,484","42,943","47,951","49,114","0","0"
"China","Personal","0","0","0","0","0","0","0","10,219","8,501","13,071","15,657","16,662","19,149","18,648","16,701","19,930","20,785","20,911","20,096","20,965","20,608","25,687","37,246","41,804","42,829","0","0"
"China","Business and professional","0","0","0","0","0","0","0","3,220","2,902","3,861","4,598","5,548","6,961","5,678","5,237","6,197","6,326","6,280","6,194","5,396","5,377","5,797","5,697","6,147","6,285","0","0"
"Egypt","total","0","0","3,656","3,213","4,490","5,116","4,357","4,906","5,746","7,795","8,244","8,646","10,610","12,296","11,914","14,050","9,497","11,196","9,174","9,628","9,139","5,258","8,157","11,196","12,876","0","0"
"Egypt","Personal","0","0","3,564","3,129","4,331","4,999","4,271","4,811","5,607","7,613","8,062","8,504","10,515","12,185","11,735","13,924","9,411","11,095","9,025","9,484","9,057","5,211","8,083","11,095","12,760","0","0"
"Egypt","Business and professional","0","0","92","84","159","117","86","95","139","182","182","142","95","111","179","126","86","101","149","144","82","47","73","101","116","0","0"
"France","total","0","62,406","66,591","0","0","0","75,202","..","..","74,435","74,988","77,916","80,853","79,218","76,764","76,647","80,499","81,980","83,634","83,701","84,452","82,683","86,758","89,322","90,914","0","0"
"France","Personal","0","54,422","57,928","0","0","0","65,336","..","..","63,578","66,627","69,876","72,570","68,107","66,530","66,944","69,378","71,801","73,455","71,929","72,605","71,020","74,916","78,258","79,653","0","0"
"France","Business and professional","0","7,984","8,663","0","0","0","9,866","..","..","10,857","8,361","8,040","8,283","11,111","10,234","9,703","11,120","10,179","10,179","11,773","11,847","11,663","11,842","11,064","11,261","0","0"
"Germany","total","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Germany","Personal","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Germany","Business and professional","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Greece","total","10,712","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Greece","Personal","9,748","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Greece","Business and professional","964","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Guatemala","total","564","520","576","0","0","0","0","0","0","0","0","1,502","1,627","1,715","1,311","1,384","1,434","1,491","1,516","1,739","1,865","1,906","2,120","2,406","2,560","594","0"
"Guatemala","Personal","389","359","397","0","0","0","0","0","0","0","0","1,187","1,285","1,320","1,066","1,101","1,151","1,196","1,217","1,402","1,470","1,669","1,819","2,067","2,203","509","0"
"Guatemala","Business and professional","175","161","179","0","0","0","0","0","0","0","0","315","342","395","245","282","283","295","299","337","395","237","302","339","356","85","0"
"Israel","total","2,214","2,099","2,010","1,942","2,312","2,393","1,208","862","1,063","1,505","1,903","1,825","2,067","2,572","2,321","2,803","2,820","2,886","2,961","2,927","2,799","2,900","3,613","4,121","4,552","0","0"
"Israel","Personal","1,860","1,679","1,599","1,555","1,942","2,127","981","698","850","1,219","1,591","1,588","1,840","2,238","1,973","2,455","2,425","2,453","2,606","2,549","2,435","2,575","3,209","3,709","4,101","0","0"
"Israel","Business and professional","354","420","411","387","370","266","227","164","213","286","312","237","227","334","348","348","395","433","355","378","364","325","405","412","451","0","0"
"Italy","total","0","59,805","57,998","58,499","59,521","62,702","60,960","63,561","63,026","58,479","59,229","66,353","70,270","70,719","71,692","73,225","75,866","76,292","76,762","77,694","81,068","84,924","89,931","93,229","95,399","38,419","40,186"
"Italy","Personal","0","52,811","49,514","49,577","51,280","52,961","51,159","52,931","53,272","49,882","50,039","55,520","58,278","58,327","58,247","59,695","61,958","61,770","62,576","64,058","67,747","70,275","75,394","78,851","80,524","29,763","30,049"
"Italy","Business and professional","0","6,994","8,484","8,922","8,241","9,741","9,801","10,630","9,754","8,597","9,190","10,833","11,992","12,392","13,445","13,530","13,908","14,522","14,186","13,636","13,321","14,649","14,537","14,378","14,875","8,656","10,137"
"India","total","1,762","1,923","1,974","1,975","2,025","2,153","2,537","2,384","2,726","3,457","3,918","4,448","5,082","5,282","5,168","5,776","6,309","6,578","6,968","7,679","0","8,804","10,036","10,558","10,930","2,745","1,527"
"India","Personal","1,618","1,754","1,820","1,867","1,915","2,043","2,459","2,272","2,538","3,357","3,785","4,360","4,807","3,724","4,267","4,915","4,890","5,098","5,275","6,535","0","7,433","8,671","8,839","9,325","2,424","1,338"
"India","Business and professional","144","169","154","108","110","110","78","112","188","100","133","88","275","1,558","901","861","1,419","1,480","1,693","1,144","0","1,372","1,365","1,719","1,606","321","190"
"Indonesia","total","4,324","5,034","5,185","4,606","4,727","5,064","5,154","5,033","4,467","5,321","5,002","4,872","5,505","6,234","6,323","7,003","7,650","8,044","8,802","9,435","10,407","11,519","14,040","15,810","16,107","4,053","1,558"
"Indonesia","Personal","2,957","2,918","2,731","3,007","2,828","2,971","2,958","2,977","2,553","3,130","2,939","2,861","3,344","3,801","4,006","4,433","4,904","5,260","5,721","6,273","6,933","7,656","10,972","12,356","12,588","1,501","841"
"Indonesia","Business and professional","1,367","2,116","2,454","1,599","1,899","2,093","2,196","2,056","1,914","2,191","2,063","2,011","2,161","2,433","2,317","2,570","2,746","2,784","3,081","3,163","3,474","3,864","3,068","3,455","3,519","2,552","717"
"Japan","total","3,345","3,837","4,218","4,106","4,437","4,757","4,771","5,239","5,211","6,138","6,728","7,334","8,347","8,351","6,790","8,612","6,219","8,358","10,364","13,413","19,737","24,040","28,691","31,192","31,882","4,116","246"
"Japan","Personal","2,297","2,711","3,016","3,001","3,250","3,464","3,535","3,952","3,930","4,755","5,251","5,811","6,771","6,896","5,597","7,217","4,975","6,915","8,899","11,876","18,096","22,338","26,908","29,397","30,125","3,900","228"
"Japan","Business and professional","1,048","1,126","1,202","1,105","1,187","1,293","1,236","1,287","1,281","1,383","1,477","1,523","1,576","1,455","1,193","1,395","1,244","1,443","1,465","1,537","1,641","1,702","1,783","1,795","1,757","216","18"
