Basic_data_and_indicators,,,Units,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
AFGHANISTAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Air,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
ALBANIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Excluding nationals residing abroad. Including in transit visitors.
,Total,,Thousands,304,287,119,184,371,317,354,470,558,646,748,937,1126,1419,1856,2417,2932,3514,3256,3673,4131,4736,5118,5927,6406,2658,5689,
,,Air,Thousands,45,39,32,79,86,72,91,80,87,103,128,151,182,206,227,246,267,273,314,337,401,457,578,692,784,270,765,
,,Water,Thousands,83,78,19,33,152,79,103,111,120,139,130,141,162,189,215,216,191,180,182,198,211,276,393,439,468,64,206,
,,Land,Thousands,176,170,68,72,133,166,160,279,351,404,490,645,782,1024,1414,1955,2474,3061,2760,3138,3519,4003,4147,4796,5154,2324,4718,
ALGERIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Including nationals residing abroad.
,Total,,Thousands,519,605,634,..,749,866,901,988,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Air,Thousands,346,370,343,..,369,382,403,456,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Water,Thousands,110,172,107,..,196,201,203,322,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,63,63,184,..,184,283,295,210,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
AMERICAN SAMOA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,"24,2","23,6","23,1","22,6","22,6","20,8","21,6","20,3","20,1",20,"20,2",..,..,..,
,,Air,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,"18,8","20,1","19,6","19,3","19,3","17,6","16,6","16,4","15,8","16,4","17,4",..,..,..,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,"5,4","3,5","3,5","3,3","3,3","3,2",5,"3,9","4,3","3,6","2,8",..,..,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
ANDORRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"/ Since May 2009 a new methodology has been applied and therefore, the information is not comparable to previous years."
,Total,,Thousands,..,..,..,..,9422,10991,11351,11507,11601,11668,11049,10737,10743,10194,9112,8551,7983,7900,7676,7797,7850,8025,8152,8328,8235,5207,5422,
,,Air,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,..,..,..,..,9422,10991,11351,11507,11601,11668,11049,10737,10743,10194,9112,8551,7983,7900,7676,7797,7850,8025,8152,8328,8235,5207,5422,
ANGOLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,9,21,45,52,45,50,67,91,107,194,210,121,194,294,366,425,481,528,650,595,592,397,261,218,218,64,..,
,,Air,Thousands,9,20,44,51,43,48,58,61,83,144,153,120,172,294,366,425,481,528,650,595,592,397,261,218,218,64,..,
,,Water,Thousands,..,..,..,1,..,..,1,3,3,4,5,..,18,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,..,1,1,..,2,2,8,27,21,46,52,1,4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
ANGUILLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Excluding nationals residing abroad.
,Total,,Thousands,107,86,114,114,107,112,105,111,109,121,143,167,164,128,112,118,124,129,151,177,186,176,151,87,166,41,29,
,,Air,Thousands,29,28,33,29,29,28,32,30,28,24,32,33,35,27,17,17,18,15,15,14,13,13,13,13,17,5,8,
,,Water,Thousands,78,58,81,85,78,84,73,81,81,97,111,134,129,101,95,101,106,114,136,163,173,163,138,74,150,36,21,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
ANTIGUA AND BARBUDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Excluding nationals residing abroad.
2/ Cruise passengers only."
,Total,,Thousands,418,472,497,540,536,634,602,508,608,769,712,838,935,863,944,788,848,819,777,771,894,874,1040,1064,1035,276,250,
,,Air,Thousands,191,202,211,204,208,207,193,198,224,246,245,254,262,266,234,230,241,247,243,249,250,265,247,269,301,125,169,
